Версия 1.1,,,Версия 1.2,,,
9.2,"при нажатии ""Как погасить или продлить кредит?"" осуществляется переход на страницу ""Как погасить или продлить кредит?""",,Fail,,аналогично Bug_10,
10,,,,,,
10.1,"при нажатии ""Взять кредит наличными"" осуществляется переход на страницу входа в личный кабинет",,Pass,,,
10.2,"при нажатии ""Деньги до зарплаты"" осуществляется переход на страницу входа в личный кабинет",,Pass,,,
10.3,"при нажатии ""Кредит с 18 лет"" осуществляется переход на страницу входа в личный кабинет",,Pass,,,
10.4,"при нажатии ""Кредит безработномут"" осуществляется переход на страницу входа в личный кабинет",,Pass,,,
11,Обратная связь,,,,,
11.1,"при нажатии ""8 800 101 82 83 Звонок бесплатный"" открывается окно для выбора выбора приложения",,Fail,Bug_11,,
11.2,"при нажатии на ""info@mkkbf.ru"" запускается почтовая программа для отправки письма",,Pass,,,
11.3,"при нажатии на ""vk.com/barentsfinans"" осуществляется переход на страницу ""БаренцФинанс"" в группе VK
",,Fail,Bug_12,,
11.4,"при нажатии кнопки ""Кредит онлайн"" осуществляется переход в форму калькулятора",,Pass,,"возможно должен быть переход в окно входа в ""Личный кабинет""",
12,Отправьте нам сообщение,,,,,
12.1,при нажатии открывается чат,,Pass,,"уточнить должна ли отображаться ссылка ""Бизнес мессенджер jivo"" ",
12.2,"при нажатии на кнопку""x"" чат закрывается",,Pass,,,
13,"Укажите ваши контакты, чтобы мы смогли ответить вам",,,,,
13.1,оправить контактные данные  при обязательно заполненном поле e-mail и заполненных полях имя и телефон,,Pass,,,
13.2,оправить контактные данные  при обязательно заполненном поле e-mail и не заполненных полях имя и телефон,,Pass,,,
13.3,не возможно оправить контактные данные  при незаполненном обязательном поле e-mail и заполненных полях имя и телефон,,Pass,,,
13.4,не возможно оправить контактные данные  при незаполненном обязательном  поле e-mail и не заполненных полях имя и телефон,,Pass,,,
13.5,"отправка введенных контактных данных при нажатии на кнопку ""Отправить""",,Pass,,,
13.6,"контакты сохраняются при повторном открытии формы ""Отправить нам сообщение""",,Pass,,,
13.7,"после отправки контактов появляется сообщение""Спасибо""""Теперь ваши сообщения не потеряются. Ответ операторов придет в чат и по указанным контактам.""",,Pass,,,
14,Введите сообщение,,,,,
14.1,"в поле для отправки сообщения возможен ввод букв, цифр, спецсимволов",,,,,
14.2,ограничение на количество введенных символов,,Skipped,,,
14.3,сообщение отправляется при нажатии на стрелочку,,Pass,,,
14.4,отображается количество новых входящих сообщений,,Pаss,,,
15,эмоджи,,,,,
15.1,при нажатии на эмоджи появляются 20 эмоджи,,Pass,,,
15.2,выбор и отправка эмоджи,,Pass,,,
16,история сообщений,,,,,
16.1,"скачивание историй сообщений на компьютер пользователя при нажатии ""история соообщений""",,Pass,,,
,,,Blocked (для 4-го окружения),,заблокированно Bug_21,
